stem,split,date,site,sha256,pixel_sha256,block,annotators,group,fold,role
20120331142954Bh,train,2012-03-31 14:29:54,Bh,e391c90569d1ae6ea5421b25161c382fdda95b2c1655acaef101e8810bdfdd38,922a1bd031f0da25513c6b0bdea2be0660f95bf4d91be95c5a1155c8aed5c13d,30,2,30,3,train
20120403083114Th,train,2012-04-03 08:31:14,Th,664ba3ea6f6f7a2de2cc355a74eca141958683db46174be9bda81cd7972dbdf8,3c0cb877722981227576476a01bf6d90a3a42b0e78a6ae04209f7b929b7a7983,30,1,30,3,train
20120403164114Mh,train,2012-04-03 16:41:14,Mh,0a29337ea13550d356adffed8b7e58b051a2343b0cbe0b33d380b92314bee66a,d5fd99b6052eced5ad488a04e4d4fedfcb3a591aa6876763c9f76add6b275f95,30,2,30,3,train
20120404063154Uh,train,2012-04-04 06:31:54,Uh,d87f09713537cd3f102278e1f9140874ed14a86717761170f7769b91ca59223d,28fdd934b1b33a0b48eb7e5eaab7069583beeb2678c67fab6e2e4a2f02275028,30,3,30,3,train
20120414115434Ch,train,2012-04-14 11:54:34,Ch,1d3b8dc2e1bb02328f0f27420338440326b1e64768916f049d301432e3a87f1c,51b4f5651ea7cef2a9142e78b9fa7005db05b18f9342e09b8591a6d512e8176c,30,1,30,3,train
20120414175914Mh,train,2012-04-14 17:59:14,Mh,33f92796fa5100a667b1c345bfe171bcd2ec3daa117504f19c5418917360a997,85333870d0c0fd07e563ac54cf619e5df667adb93ba3fc77f7c31ae747e86012,30,1,30,3,train
20120421063154Uh,train,2012-04-21 06:31:54,Uh,7a15bbaa8074eb665c2b1ef573c62b6aeee27e9301bcdeed1bd2cebc5976062d,7023c7fffe965d4f239d84428ec8ef0510b2692965dc41a17e9cad8d765a0194,31,1,31,0,train
20120424072414Th,train,2012-04-24 07:24:14,Th,d83122e63f039cacfec25503732be3cecce5d0379bb4ddc17707e4bbb67097cb,ef646f1d53ff37fb047f3c764d3a3db222e0bd16e3a251ad84b44dcbbdc00f20,31,3,31,0,train
20120424120134Ch,train,2012-04-24 12:01:34,Ch,7c2d5eb4e4a75cb839c35ab4cd67986a1584acc2f1850e7163e9de279dff0f66,9492fa4b04a8c2cc3a15c70826aba43110c000246fbcc44d6f6b4a11c152caf1,31,1,31,0,train
20120427063154Uh,train,2012-04-27 06:31:54,Uh,e0af4e5186f8062efafd379758f74d9b9b324644597ba2d3fae17a84ca41ded5,f72dfbe4afb6f4c0b94af51e7cbca4e546886a1fe55bef50d892b22f05c9bfee,31,2,31,0,train
20120427162614Mh,train,2012-04-27 16:26:14,Mh,0a61ebcdbde16a25c5d2e6de32409a418d6e92f3b346f69488546ffaa98473b5,b951a8b4cbf3551779fdba007c2b3b4b2280cbc29c4c607fd4f31efb93baff3b,31,1,31,0,train
20120430063154Uh,train,2012-04-30 06:31:54,Uh,be41967d1e081c8f5429d7f6d951cca74df241a89cc9e8d478777b976824c5d1,9fcc059c08386ba58d2369e35470785547528b1ed44e9c823e635a76458af073,31,1,31,0,train
20120509163414Mh,train,2012-05-09 16:34:14,Mh,0af898a7e54719a7d519cf6d597909dbf6cebb08d7f383552a809a81a13468c0,11d2b2001fa52598b422184ab22ed4694eaa9e3bb22f11c7c50179abde62c6f6,31,1,31,0,train
20120519070814Th,train,2012-05-19 07:08:14,Th,8cc73b67c09434178b90c4249c039a23a7f9c95698535cf0238ba942ac18134c,e02dfde2a9b6207a9c7797244c050d0c17fe62440ada50dde1a540d4dba457ad,32,3,32,1,train
20120523163014Mh,train,2012-05-23 16:30:14,Mh,8369821d993501ce1251def147da3c071424885ab3f85c5cde62ee4ef511654f,0ab9a8e488ab3e4747bf75ed0cddf7e84a82ffad67f3e006ede26e1e027bd9cf,32,1,32,1,train
20120603123034Ch,train,2012-06-03 12:30:34,Ch,d0f7355581eb68a29bcdbfcb8d7a0649fbe5f3637db1d97c9b7f74c107057ab5,b28bb1e77d6d50c2c2327f59832fcdc4691a06ab999906314d7f5f9fcb36cdd1,32,3,32,1,train
20120610175114Mh,train,2012-06-10 17:51:14,Mh,18f84d25cae3dbba8827da710b554e8bc75ce412ea090e3912b93ad9436415cc,8dd7e220c39bd773fbba1039b234bbfab585f9310308cbfd9b263cfabe483222,33,3,33,4,train
20120627162114Mh,train,2012-06-27 16:21:14,Mh,70409bc5f26d7ab80705d7adb9ef0e4877abfc67adf673927a1810675405f709,b98fff3543965e41bbd4b410be589272173403389f867ee9b335c2fc32bb73de,33,1,33,4,train
20120703070814Th,train,2012-07-03 07:08:14,Th,38eec6624cadd497882976f7c05ba2b841842108055204a434838c8e4b854f37,f55484b051a796016f690c9a8b368313801050a6339de051a2094986503907ad,33,3,33,4,train
20120712123634Ch,train,2012-07-12 12:36:34,Ch,ca8e7412affd2e7be9a1f618bc177c8ab3bd95547662b5f5bdb08a1bbf302072,f8e461d59d5d0351b307adc0da6c9a9744ee0d7347ca86ba53d69294a32f595a,34,1,34,1,train
20120715123434Ch,train,2012-07-15 12:34:34,Ch,45097efcbf1ae20f875c7b29a4f17d2c41a339571b9396fa519566cf51ddf5e7,a01333edf46ee2710d7899235d8eb31d0ac443d7b8574d651ae57a3ebb57f0b8,34,3,34,1,train
20120720085114Th,train,2012-07-20 08:51:14,Th,a04df416c170617d6b5c8df5399e51ba18227d201029b06b90b10b3c56642ed3,598aaaf11efcb4554683f7ace8ed81872524e5fb1aa0a53c5b9990f0bcd87bbf,34,3,34,1,train
20120723095014Th,train,2012-07-23 09:50:14,Th,368360c7cd6dc18e71604a20f21f09e63930e79070f160f86e76f5e2f4ad96f1,9d300f1787156a56fbc2dcd1eeffdd6aea91fc3f5f3ac00285af70de4d023df1,34,3,34,1,train
20120725122934Ch,train,2012-07-25 12:29:34,Ch,74c1c69eb8f95abe976ab7e1fbf1596f1bda74e0701f01b2d36f436974159a2c,911593e0f98025426ad49fac6b9ca823b6810461ab62497e56b7f83a504e642b,34,1,34,1,train
20120726071914Th,train,2012-07-26 07:19:14,Th,139fda7e0242e8cce06c2a4c784f1874d916785a8857a09b1b605c59e8dea38a,9d3fc7af5ab77a0ba568cafe3256ef6a3a6c588c35d154df28cae327fa5259e0,34,1,34,1,train
20120729122634Ch,train,2012-07-29 12:26:34,Ch,63824ae0fa859265f141ec7c9ad14c0818eb14d92786678e9d64954fb9e7632b,85fdd7d3332ac95f8eef8b684ce4e070fc0da5757aee2f86134fbd3915280106,34,3,34,1,train
20120730135454Bh,train,2012-07-30 13:54:54,Bh,200a963edc610cfb0b367e26d6918d65b2b4e2a0a6188462eab78671ef13ea46,e54ac25d68391a2c8c3e760067344f1d1146b6d0440267e0c6fc70ce99a9d85b,34,1,34,1,train
20120802090314Th,train,2012-08-02 09:03:14,Th,fbd02dd95669e1f75a44df060c446eb46c1c4b9b5c72b66a8324db31fb82e91b,07881d563a5df6f9e50c066db17e03da10f15886863b2e552965bf778ded1c94,34,3,34,1,train
20120803102114Th,train,2012-08-03 10:21:14,Th,450b070e0b4fcb60ae2ece910de4c3deeda6900050b94646f6351ecab10c3f2f,a6f6b7a87b9dc0745066b47425eeddb59f9eae65a5148f161bce2016ae916cec,35,2,35,2,train
20120803164614Mh,train,2012-08-03 16:46:14,Mh,d8c726e80b3dab1f05c70abe208996a85b2a5ce5e52bd810fb5d8849b76e0e4a,df01b5f33a48ff5634f386f6fbd8abf29392c4d77025eb59e8bbd6883095ed53,35,1,35,2,train
20120810121634Ch,train,2012-08-10 12:16:34,Ch,5e764775b4b4eb37e79ed562b79a3c6de894e4e6996771ee5581d65f08895958,85f971cffb2d641ccf4765e60fe301d5827cfa36e04f5fc5a40292c8a1c4abcf,35,2,35,2,train
20120811121434Ch,train,2012-08-11 12:14:34,Ch,5da7e2671268ccebdb9a0c3b67692e4532767542816e00b55f89e0a8a871a271,76c81b06aa919a9e33f4aef0035e100255f991124cc92c1eaba0a80fbd01dd02,35,3,35,2,train
20120813164714Mh,train,2012-08-13 16:47:14,Mh,d09b13a313a8afdcd4efb8d7050e9a8b7cc603de99fbb233804a3f85158b27be,3c7b99a44074bfb424b238b2c3fa26e789642d99ee3f736c6224af7e8a3dc325,35,1,35,2,train
20120814140454Bh,train,2012-08-14 14:04:54,Bh,9fd0f041619d4948f2ee781239ffea1cdf31c6c0d0a88741bff773e47c13cf61,e1ba3309521c9f276b99caed4149925efb85f48e28ada287c34457cdf7ed1dfe,35,1,35,2,train
20120814163114Mh,train,2012-08-14 16:31:14,Mh,368babe25248e2517bb196f86af15a2845ddbedde1fc775b1f12179c274c3718,a952bc8572fbb47b41f15b3e89304debd9383e0bf3d3cc5e6cfe7f0a675d88f4,35,2,35,2,train
20120816072814Th,train,2012-08-16 07:28:14,Th,5eeb6d3169bd1417fd25338e2f0e934166fc139a9666990b31901a687f818701,00bdb287ccf0de047c36ea48cd5f1f46002345892b112b510469a6a450050826,35,3,35,2,train
20120827085114Th,train,2012-08-27 08:51:14,Th,f6e26a32d83315ba127554cbd228ea6c096799ddc1ca0dfe5dde31b48caffe9c,d9436d80344bd4c4c3f710f3f8f98f0757b2dc5fca0134e74a787f3674e7ee79,35,1,35,2,train
20120829063134Lh,train,2012-08-29 06:31:34,Lh,40e2c6bf94673cab69b5ac18ea8756e0a63c5d6e6bb778ec508afd9bf95f78cd,caa7e1dd1b82b16baaf9426e81a7d0e649c6b361ef4ae05fcff62da06711a8db,35,1,35,2,train
20120901114934Ch,train,2012-09-01 11:49:34,Ch,87e6ecb8cd7b65ae7e2f6a14aa58e6ca2d0e8e80a9bfd16b9e4e7ab7ff50b0fe,028020795c993dc3ce084bab3839a14848ce0b324d5852b9cbde4c526b87f3df,36,1,36,1,train
20120907141954Bh,train,2012-09-07 14:19:54,Bh,be67198a5c1eef482d9f0145c7d739cb927dc8002d28dd7e6b326a10d10381d9,b5547436f4659270aa02f273d591ef55100458cc9d04f8c8506907c5e3b24f1f,36,1,36,1,train
20120910074014Th,train,2012-09-10 07:40:14,Th,9c615cdf57d36d39c306c9070126152730ab19d6b97efcc1e88ca51fb35f9459,cff2ba8cf6009c11a431fdba006ab369d89846d40a722ed0c77fe0e47ee1478f,36,3,36,1,train
20120913165314Mh,train,2012-09-13 16:53:14,Mh,96e5ec9490ccafea31cd4c0c3faae2a6757ed833be94765990a49305b577f1f7,bedd96727031699f1c6ff4bf50496666c0338a9518be20b4e2e4c019cd479170,36,3,36,1,train
20120914063134Lh,train,2012-09-14 06:31:34,Lh,bb4ed81ac82fd569bf6983470bc71ff71e33eaf84bbb94a9f5a331aa582d8dcb,318a837cfca52e8e005a5137402ddb00a0329ba9cb4a082761535bdb9ad511ad,36,2,36,1,train
20120917142654Bh,train,2012-09-17 14:26:54,Bh,73f6eb7c11622879bcc5a951e0c5c2068f34d0fac0b3c9eb358e9f5cbde4408e,0f878205a6bac08a3927480adfff9bcce9fd995f195e7eb501ebff9f0be8ab81,36,3,36,1,train
20120928063134Lh,train,2012-09-28 06:31:34,Lh,0764b12b87dc43e7258b43f659cef4a53241b04d5de20399ead1a6540311f8ef,cb929359ec835834f938ee31c8a46c663a15cf306f2780c608288c0808615a0d,37,1,37,3,train
20121006063534Lh,train,2012-10-06 06:35:34,Lh,909a199d37300ef8564a9c8b5a566597e5e159df08c57766e566001fc548050d,b149d44538e20a44dab9492e25f2fb10dcf82301c6b8c6ba0a6acdf7aa618102,37,2,37,3,train
20121007131134Ch,train,2012-10-07 13:11:34,Ch,7725870366b4166d79b7daf8d00309968c80f2ef4f00f44e710eca523d815872,765b585b473922f05069caf22264f52c469ed6e6afb702021c03ff4bc5cfd93c,37,2,37,3,train
20121009165914Mh,train,2012-10-09 16:59:14,Mh,5bd93cb2428a1e06c364172fc10ee94856c3b69d230059ba4cdd381ccea9060c,c6f82a8e4f3cf26da6ac2c6bbcd63cfbc7ef1859de8b3719b68e89431eb1fb87,37,2,37,3,train
20121018063134Lh,train,2012-10-18 06:31:34,Lh,130ec510ec549e05c7060a2f0f295e3bc205f6d9d734af06cec2b3aea2612496,af3f0ee6698d67dec1b108ee04f7e2501e0dd48d21f168cae7065b6342ea8b60,37,1,37,3,train
20121021145454Bh,train,2012-10-21 14:54:54,Bh,f2c8a8b010ad44f21da5adc9d1ec347fc66083296227e9c6d38422c7fd27f8ca,915013e1367dfc79cadac0804d08196a8092d79d649f7de1fd59f4d388f1bb09,37,1,37,3,train
20121022145554Bh,train,2012-10-22 14:55:54,Bh,59878b6667463d044951ffb9b5e518ae9b1d56a3cc754ed6a8c88c3d1d9b7b05,9f1d4c0211feaf82fce143fb76ed0d7a47e1e7f0fe2b63cf81537c6d82da7677,37,1,37,3,train
20121024164714Mh,train,2012-10-24 16:47:14,Mh,eddff2ad676c5796e6c9b39c6765be9d419875a3124899be92f954ef1d3f464e,bbc0c0cfb6eba222613f952bc12ac942278adb96a44f5d193900fe15aca07492,38,1,38,4,train
20121026063134Lh,train,2012-10-26 06:31:34,Lh,ddb679dff63e986bc50065c8738efb24d92a7371b7f453718f41f49790de4a96,62fae3e6b32e7f00e9ccf160f6d35988d4073f42a0c568c1110cca775f375dc3,38,1,38,4,train
20121027063134Lh,train,2012-10-27 06:31:34,Lh,55c33c83a447b0e80992d638a6eff024a011a6b29f6a161c5554f905c136db6d,c2b2c4b598eafe105e155b589468174939ea7a9fb6939764e85c61a68ad75a7f,38,2,38,4,train
20121027165114Mh,train,2012-10-27 16:51:14,Mh,5b8f96d90a77959359bc20e9d0534043c4063e6bcc4d65259e02c89ce8f6e87a,1165e7f0b2a8867c0c8b4fd669cdb2c7a616255c9c17390743d497da70ffed2a,38,3,38,4,train
20121030150354Bh,train,2012-10-30 15:03:54,Bh,735d2168df9c0c7650e046d4d344a15fd82dfc578b561cd0000b98c04f2b2061,bfb984b368dcca21039448df222abd392e77700f95d8108a2ee9b853690a888e,38,1,38,4,train
20121108155954Bh,train,2012-11-08 15:59:54,Bh,6320607a3d8e718142cf762d450ea8c47cfef41500dd410eaaf1b5b408b54956,8aeaef52343be7b6db4d9ec81f8c8c0e98fc409c7c9c06a202f52bcb860852c5,38,1,38,4,train
20121109103634Ch,train,2012-11-09 10:36:34,Ch,339243254bc73114b9810ca1a078c3e53abe724a9326ab5ff9235e0eb4e5c5e8,13d596db679ab305d1bdb8ac82355eaa886d7f6ac5b5c995abbc1ddc71c4966a,38,3,38,4,train
20121113103634Ch,train,2012-11-13 10:36:34,Ch,c726a3a217799a697b5a4e2d53bad366a56d2f7ed79ec8fb9c6defedde77d521,b4b6384ff569bdf1d4206a28bb18fb0ada172c4f00ed16563357e47accae730e,38,3,38,4,train
20121114172254Bh,train,2012-11-14 17:22:54,Bh,84a444c6cafa166843363837b1b5ea6d032543b9babc19dde7b3f76afa77a3b7,6a249de838ce8e1623974f54b154cd262c44780bffa1d0a23711ea8964b54bbc,38,2,38,4,train
20121118092514Th,train,2012-11-18 09:25:14,Th,fbf3d6bb9af44ee85b5477b7d803a30b306609226bc7a8b4d3ee035686da9930,5e00627c47fae12eafa155e91a99c89fc32472aface79954051c5c4e368d9a0b,38,1,38,4,train
20121129063154Uh,train,2012-11-29 06:31:54,Uh,d2a3d1f0b97f423805b9ae0f1a3b0483395989b5c83ae4773aa703012c077f26,2e0bdd64a9737f4fe627fe50d3e1dfc3fe5722505a27f0a54bb393baaeb0cbe6,39,3,39,4,train
20121207103034Ch,train,2012-12-07 10:30:34,Ch,0cb36f59789b4eedbaf2ccc6726011e578b01363cd8f190fe6dc4fe619512d19,cae84109896cff499f080469ff3e39a390d072e99da3dc1c3f627abf9e160bae,39,1,39,4,train
20121208171514Mh,train,2012-12-08 17:15:14,Mh,9ac2d7e6b619630ced55f291fe18e6e080896122b7729fb263c815b2f1a7f00f,41216de48f88c83a3a1fcaeeb64d8512bb1ed6b71b09afecc30e8a93144bfcd7,39,1,39,4,train
20121218063534Lh,train,2012-12-18 06:35:34,Lh,0c0a3553a31eb102f8b36af534095deece7b32e32db2a1aa22f50cc4a11d2b2a,73e823ce13081f8c3f6df76d359eb25627ceb053a4e52cfb419d992b4482e17b,40,3,40,4,train
20121219063154Uh,train,2012-12-19 06:31:54,Uh,f572a3b6e4dbe2ece5924f2aebb4911ce3499fcef310a7c3c12bf6ff38f2ef3f,ede5609ee9057f8768b48bef70d11b2b17531ed7c3cb25686a4f75bace97018e,40,1,40,4,train
20130107174854Bh,train,2013-01-07 17:48:54,Bh,28283807f20261c9faf874a8e0c3066e7264080f61240fa116e7ef2fabfaec55,d2acefb52f5d8294fb482c619a8ec32a8d512c1d2fd42c8d3fd1d65ca291fe91,40,3,40,4,train
20130109130334Ch,train,2013-01-09 13:03:34,Ch,c49e74cf288b0e0bc04294c12dfefafd157de3e0fd28a74c0e6fef850fc92611,45e355cc5efc2e911e7956dd97e7ebd033555ce4976b12c8546ddbb8fb17ab2a,40,1,40,4,train
20130110104734Ch,train,2013-01-10 10:47:34,Ch,89ae70ed80377d790ed6955c7b40c045f58880cd621093e3d7198108c1ea0fe6,ed034d0cf1eabaa1d0b6c80476366b36c62e34809121d999505a6f95370240b9,40,2,40,4,train
20130111104734Ch,train,2013-01-11 10:47:34,Ch,e219a64abc69c915c13bc9708def668ab397ccb261026458b392f3c41df8052a,78fac35679fbb22da22baf0d2439f9b18dbf0d054d6ad89b21149cba968d9a19,40,1,40,4,train
20130116172814Mh,train,2013-01-16 17:28:14,Mh,6ff6ccf8895e75ed86174ca3f2d1d2839c78e2d596aaa4b6895f4d082b897037,8aba0af8e9e83062e1348bd4690f29ad31bc79340f0f7374cf784f3bb3c57ce1,41,1,41,4,train
20130201084914Th,train,2013-02-01 08:49:14,Th,199b0262d735d8c9f357f48165f4cfe73fe8a6f8ed6a7ead84bbec7512df4405,7f463d633655aac25e25ddae5ab973c229664483175ddba65076d3971be7cba5,41,1,41,4,train
20130208063154Uh,train,2013-02-08 06:31:54,Uh,768ab1cbcbc040f57cb5c5e73bc60ed1ac5ca7e2b20320b992cd3f381ffe8b0a,8c69ef863d84cfe5f0840a05f2deb4ac8169204201574cc3013d63da5b0a288e,42,1,42,4,train
20130211063134Lh,train,2013-02-11 06:31:34,Lh,d322790a8e6a39436b5c1a37a097da22d036d128252f0bd9ab3c4bc57d64323e,ab1ca2f1525029084444ec6df3750bd421a061218c0622a0517a8c2f640b0ce6,42,1,42,4,train
20130212153254Bh,train,2013-02-12 15:32:54,Bh,1dbf6d90cf9e0ca3d80d91a48e4d0d830ddefc49eae6379af539665ec41ebc51,4063782084b8c82fb2ac761c2bd0679cc16294a12cc735eb5938d3131a25da1c,42,1,42,4,train
20130214111534Ch,train,2013-02-14 11:15:34,Ch,1f1999b80b3aa276dc59c118095f77700788bd9d967bed43acd722efec4e912b,70f93b3522264e5ea3a251d967d290073ec19a13d96d735816cbd75e653a6f53,42,1,42,4,train
20130218220314Mh,train,2013-02-18 22:03:14,Mh,fe0bdcb3ff3bf5745474b58af551a89a1d4547471634f2cd4b992ca869200931,94bf54dac65a34f3d1ad3653e422faa9cb9e384ab85386e2aa9ea9b72d39e32d,42,3,42,4,train
20130219063134Lh,train,2013-02-19 06:31:34,Lh,fb1a05f52baf0ff7fc4b78cd27b0ce4a810dd0469391762f18476868aa5b1e51,9bc98aabcbd1481744226b6783da189bf2a1cb39464204ae70cbe4f9b674a80e,42,2,42,4,train
20130221063134Lh,train,2013-02-21 06:31:34,Lh,d1d5a397a92f7a56733010feb1783721f7e98f55b43d77f8b0ea96a9338260a9,2d8060a4596fc168a72e867f71b9bc019a6e18dbab4d1394fe00952a768ceb1c,42,3,42,4,train
20130222082914Th,train,2013-02-22 08:29:14,Th,d443f5fead5f65cf49f491b39e91a0cf37ecb24c319f659cdbce176582ba254e,a7794e1b10aebda2621ca7248f0734eb5b3c2383534e88befe4f34c02afe5724,42,1,42,4,train
20130225171214Mh,train,2013-02-25 17:12:14,Mh,94b90b36cfe625ec33779e48bcafa76ca0e71dff2c150d9a1bdd0fd44bff1bed,a8d556de2316675170581b9328952f9a8026f8f095de3216d5f81f010ae463a7,42,1,42,4,train
20130303063134Lh,train,2013-03-03 06:31:34,Lh,5aab2490dc594c8131ae7249f9bd1e40e90919ac892e311b0a48da022b218318,24de4593804a9e6b4d394e1a84159fc098c7fb4516cd2a876e0e51b36e3b8fcb,42,1,42,4,train
20130303063154Uh,train,2013-03-03 06:31:54,Uh,0f3a61964e7fede773ea9c73d32fa2a8004ecf51b73bde589caa57f268406687,e5ec3f030839372a6ca6277ccd9ed4f742baec9959a7808bfdead32a4d72c03a,42,3,42,4,train
20130304170614Mh,train,2013-03-04 17:06:14,Mh,5a1f8d9525df9944541101d80707620f912c199731fbe409a53d256c49e96747,25295d6a84438cc37b299e2235286d2899c5e5f0fca1600ceabc73e4d7f4b172,42,1,42,4,train
20130305112734Ch,train,2013-03-05 11:27:34,Ch,e3771a9445cdf65d7d68c987c6ed98a7aa8dcfe00f2f6d579ca7f566c28303fc,0ef9ee76ff52759be4b9e3730258c68c9d83e531f3a41ec531d7d1746bc5fba7,42,3,42,4,train
20130306172214Mh,train,2013-03-06 17:22:14,Mh,222844e24823426512e81fcdd92b425285f08c80a23b0bf105c1198995360c9a,befe8d5d89afc6527be9223b4b6b15f9a0dd4d8f83edf0301e0855a8e754b7b0,42,1,42,4,train
20130314165714Mh,train,2013-03-14 16:57:14,Mh,369be43eedab9f6794ab307ce3c5e5ab7366ec0250a6744049d530e218233581,6b83d41f762e4257113ed39ecc995994a3bae2ef595759bce7cb7de8f82f967b,43,2,43,1,train
20130319144654Bh,train,2013-03-19 14:46:54,Bh,a1e3b4be5d8a3d907deb3c0ac09e550afee4696831e46740c7959479aad7bd34,8dceeccc62702ca96bbefdd5afaacf56918a014396369c1411a3194e4030a49b,43,3,43,1,train
20130324015554Uh,train,2013-03-24 01:55:54,Uh,060835ad7b34fa1a7fc809ef43b4a4647dc9de14d5a1508d4d85d0635b32a0cf,fd0a791e6efa8aaeb27b303debd082e61f209e99291a4b5c5103c13081585443,43,1,43,1,train
20130326063134Lh,train,2013-03-26 06:31:34,Lh,729cb1ca799848213d8738c66ecc730476c625313bba0fa441ac44b77fc6b63e,57d87fbb76d75765c0c2abb60538ce439e385d143bb64edc0a89f37ac91b3329,43,1,43,1,train
20130327175114Mh,train,2013-03-27 17:51:14,Mh,13ea144a7d05a9246af938e126436d7bb619d00d544f51637bd120ee2114e995,2f8107c9e08bee62403695367a3e7a977d96917ef692b0feec771e5030b38a73,43,1,43,1,train
20130404063134Lh,train,2013-04-04 06:31:34,Lh,9dd0d1805c160b65c0fa4f3c86b45b874ffdff53de285dd3252c6f48d8fd2af5,a800e2802a56da63071c685db9517ef2a57cab12511d2bd95a0d18ec08975a20,44,1,44,3,train
20130405114734Ch,train,2013-04-05 11:47:34,Ch,dca1bdd33efb6c905f0c3fc2cfe7b7a5931f213ce5463e6dddc95f76ec7585e0,8dff78d660470e22e8ee2566f2b35fb1cb19c37a14d9e8c2176b7ab65b27aaba,44,1,44,3,train
20130407063154Uh,train,2013-04-07 06:31:54,Uh,8441e314b6fdc26c91d3f7a6e34f1b150795368ce04d86ca7549a45c15208da1,e9820b9be44fbcfe8b1d63d463bb2a805d2a0a6054eddb4cb054b57f9b87a9f2,44,2,44,3,train
20130411115134Ch,train,2013-04-11 11:51:34,Ch,08e8599a3cbd0f5a80da727176cb31a1a4c0aef11420111b707171a847fe0f35,ed273ea1805b9c1df5b9dc63a84fa036594b70e86328eef8bfc60d25c4e16d63,44,1,44,3,train
20130419070254Uh,train,2013-04-19 07:02:54,Uh,d809b37bbedcdc663753033e8226f5d1117f0c2939ce04308743723ebe829454,2ddad542e86af35740993c1a282052967e2aec30584a8647e1d5d893d4026149,44,1,44,3,train
20130423072414Th,train,2013-04-23 07:24:14,Th,501c490320fb5e5a85ab80bf8e6eb80681c3f8f5daa2a9edeaa90d469899357d,6b7e84278bcd57946734b6c25ce325b4cad4ec16784f93e4f0f185415dbe1f58,44,1,44,3,train
20130425135954Bh,train,2013-04-25 13:59:54,Bh,8960f21d0c5441ee15d26b056c282c30e9759aedc6de495eeab12559b7352ede,a07afac9a238a9a7abd0e1e656cd03e277801a93c55647e2bacde6bab1f7abec,44,2,44,3,train
20130429063154Uh,train,2013-04-29 06:31:54,Uh,d18c4228a6ef975aa7cca4456c66214a91d3edddea51de6fb98a9bbcc3e95398,af4f0304946207d21d52b57e3f87ac957eea2b0e3e24b25adc52cb341a6d242d,44,2,44,3,train
20130502063134Lh,train,2013-05-02 06:31:34,Lh,c70b755ae452e1e82916e6505e6a0701bcd9ecbbac1115f82268693e6c701fcf,c7d2fca4cb4fb159abdca75bfcdaa3ef4bcdebee843efa049f8da89aa9110f63,45,1,45,2,train
20130510134654Bh,train,2013-05-10 13:46:54,Bh,fbe7b0c555daa8d77470a3a6ac91bef14ae8ce9a17c2b65bcefa6fb02b91c39c,67bc49e89f9c017f013acdda50313e5b7025ff40bda57d5081d65d6cdf5c3b7c,45,1,45,2,train
20130517063134Lh,train,2013-05-17 06:31:34,Lh,25133604de6e410ee1b90f585a4b94cd33a2f6fefa6486e5b3ed8943fa43cf66,10ed5ee0a435f847542adc4d753b70173fc398cd37959013bb3aabdd9a085bba,45,3,45,2,train
20130601063154Uh,train,2013-06-01 06:31:54,Uh,0fc864af4ca184725ae36a93b85e2d62da07a0c0af26b7e621b81676e3c4dc4e,c85f1deae9ce61fecc22425ab6635e2a86e8bcab9b1957145d682d62a339794e,46,1,46,4,train
20130609123334Ch,train,2013-06-09 12:33:34,Ch,ef3a00f23f89253609d6aae49b15909232c2b674d9dbbc67b4b76dee68fb825b,9107947217b473c1d2336d85884972aae4d7c665d6f3fbac0ea6b28f63f98f58,46,1,46,4,train
20130609173414Mh,train,2013-06-09 17:34:14,Mh,2b26ec1ae400430327d07e894f34507f32de41749de7c748cc1fa047a08a8267,d74359fcf8ac175ad9128d6216f96a20904a669b0af4ce3f7e732ce500ae56f6,46,1,46,4,train
20130611063154Uh,train,2013-06-11 06:31:54,Uh,5dc836a0a1dfd0de057e46f8f91e1c6b581d67262f7888845ac05f111e05f0ca,1164d881b6d0be3af94990131a5723c380553090287307c6afe87620f2f8a5a4,46,1,46,4,train
20130615002434Lh,train,2013-06-15 00:24:34,Lh,668f5067394bfbdc29f489d98a95b1fc152b882b6e5cd6ca13db40702c3677e6,593d768e9201d3817d3409cafc89fcdb4d9c02ad757a8d09ea7543910e3ce57a,46,1,46,4,train
20130616070414Th,train,2013-06-16 07:04:14,Th,dade68e3f99df3ff60d2e0e60489b2f5d6564e26054b108b058cf5cb9040d34b,304f5cc4c7a0c45eedd19af416cb2d4795c94706489572434f6f5125fa77118c,46,1,46,4,train
20130628063134Lh,train,2013-06-28 06:31:34,Lh,5aecfe1ec8295b11bc510113b4c072e690f19335d80a6084027b6c492883cec0,4e44f49c966686ada6aa0cf8c6a6f23f4bffd2a49336d57bd35a001f62f38ac5,47,1,47,1,train
20130630070714Th,train,2013-06-30 07:07:14,Th,2e17f7ec7b6a7635f926c579e10753fc3774e1b38077e71334b06f0aef67590f,437c5bb0c9a749675ae6e4edf0f3533d1fe12592ef6b0aab0d6ab11bd69ab354,47,3,47,1,train
20130705161714Mh,train,2013-07-05 16:17:14,Mh,480726e91dd1a09a0e5a17b3285bc29893ed1a418d98ee95072c6098edd3a8b4,2079650c50b55127a3be6d98f719f678486e3a9a8bf9ecade592162b89254188,47,1,47,1,train
20130707134154Bh,train,2013-07-07 13:41:54,Bh,0ef657bf8c8509330ac822bf06db8a12bc35f1c8665067199857dfe89e26bdf1,00eb591a795afecdfacc85631e9f16b194ea78c9c3b4543f49a0574e9a3098cb,47,1,47,1,train
